,Province/State,Country/Region,Last Update,Confirmed,Suspected,Recovered,Death
83,Taiwan,Taiwan,1/27/2020 19:00,5.0,22.613636363636363,7.253521126760563,12.3
84,Xinjiang,Mainland China,1/27/2020 19:00,5.0,22.613636363636363,7.253521126760563,12.3
85,Washington,United States,1/27/2020 19:00,1.0,22.613636363636363,7.253521126760563,12.3
86,Illinois,United States,1/27/2020 19:00,1.0,22.613636363636363,7.253521126760563,12.3
87,California,United States,1/27/2020 19:00,2.0,22.613636363636363,7.253521126760563,12.3
88,Arizona,United States,1/27/2020 19:00,1.0,22.613636363636363,7.253521126760563,12.3
89,,Japan,1/27/2020 19:00,4.0,22.613636363636363,1.0,12.3
90,,Thailand,1/27/2020 19:00,8.0,22.613636363636363,2.0,12.3
91,,South Korea,1/27/2020 19:00,4.0,22.613636363636363,7.253521126760563,12.3
92,,Singapore,1/27/2020 19:00,5.0,22.613636363636363,7.253521126760563,12.3
93,,Vietnam,1/27/2020 19:00,2.0,22.613636363636363,7.253521126760563,12.3
94,,France,1/27/2020 19:00,3.0,22.613636363636363,7.253521126760563,12.3
95,,Nepal,1/27/2020 19:00,1.0,22.613636363636363,7.253521126760563,12.3
96,,Malaysia,1/27/2020 19:00,4.0,22.613636363636363,7.253521126760563,12.3
97,Ontario,Canada,1/27/2020 19:00,1.0,22.613636363636363,7.253521126760563,12.3
98,,Cambodia,1/27/2020 19:00,1.0,22.613636363636363,7.253521126760563,12.3
99,,Sri Lanka,1/27/2020 19:00,1.0,22.613636363636363,7.253521126760563,12.3
100,,Ivory Coast,1/27/2020 19:00,1.0,22.613636363636363,7.253521126760563,12.3
101,New South Wales,Australia,1/27/2020 19:00,4.0,22.613636363636363,7.253521126760563,12.3
102,Victoria,Australia,1/27/2020 19:00,1.0,22.613636363636363,7.253521126760563,12.3
103,Hubei,Mainland China,1/27/2020 9:00,1423.0,22.613636363636363,45.0,76.0
104,Guangdong,Mainland China,1/27/2020 9:00,151.0,22.613636363636363,3.0,12.3
105,Zhejiang,Mainland China,1/27/2020 9:00,128.0,22.613636363636363,1.0,12.3
106,Henan,Mainland China,1/27/2020 9:00,128.0,22.613636363636363,7.253521126760563,12.3
107,Chongqing,Mainland China,1/27/2020 9:00,110.0,22.613636363636363,7.253521126760563,1.0
108,Hunan,Mainland China,1/27/2020 9:00,100.0,22.613636363636363,7.253521126760563,12.3
109,Shandong,Mainland China,1/27/2020 9:00,75.0,22.613636363636363,7.253521126760563,12.3
110,Beijing,Mainland China,1/27/2020 9:00,72.0,22.613636363636363,2.0,12.3
111,Anhui,Mainland China,1/27/2020 9:00,70.0,22.613636363636363,7.253521126760563,12.3
112,Sichuan,Mainland China,1/27/2020 9:00,69.0,22.613636363636363,7.253521126760563,12.3
113,Fujian,Mainland China,1/27/2020 9:00,56.0,22.613636363636363,7.253521126760563,12.3
114,Shanghai,Mainland China,1/27/2020 9:00,53.0,22.613636363636363,3.0,1.0
115,Jiangxi,Mainland China,1/27/2020 9:00,48.0,22.613636363636363,1.0,12.3
116,Jiangsu,Mainland China,1/27/2020 9:00,47.0,22.613636363636363,1.0,12.3
117,Guangxi,Mainland China,1/27/2020 9:00,46.0,22.613636363636363,7.253521126760563,12.3
118,Shaanxi,Mainland China,1/27/2020 9:00,35.0,22.613636363636363,7.253521126760563,12.3
119,Hainan,Mainland China,1/27/2020 9:00,33.0,22.613636363636363,7.253521126760563,1.0
120,Liaoning,Mainland China,1/27/2020 9:00,27.0,22.613636363636363,7.253521126760563,12.3
121,Yunnan,Mainland China,1/27/2020 9:00,26.0,22.613636363636363,7.253521126760563,12.3
122,Tianjin,Mainland China,1/27/2020 9:00,22.0,22.613636363636363,7.253521126760563,12.3
123,Heilongjiang,Mainland China,1/27/2020 9:00,21.0,22.613636363636363,7.253521126760563,1.0
124,Hebei,Mainland China,1/27/2020 9:00,18.0,22.613636363636363,7.253521126760563,1.0
125,Gansu,Mainland China,1/27/2020 9:00,14.0,22.613636363636363,7.253521126760563,12.3
126,Shanxi,Mainland China,1/27/2020 9:00,13.0,22.613636363636363,7.253521126760563,12.3
127,Inner Mongolia,Mainland China,1/27/2020 9:00,11.0,22.613636363636363,7.253521126760563,12.3
128,Hong Kong,Hong Kong,1/27/2020 9:00,8.0,22.613636363636363,7.253521126760563,12.3
129,Guizhou,Mainland China,1/27/2020 9:00,7.0,22.613636363636363,7.253521126760563,12.3
130,Ningxia,Mainland China,1/27/2020 9:00,7.0,22.613636363636363,7.253521126760563,12.3
131,Jilin,Mainland China,1/27/2020 9:00,6.0,22.613636363636363,7.253521126760563,12.3
132,Macau,Macau,1/27/2020 9:00,6.0,22.613636363636363,7.253521126760563,12.3
133,Taiwan,Taiwan,1/27/2020 9:00,5.0,22.613636363636363,7.253521126760563,12.3
134,Xinjiang,Mainland China,1/27/2020 9:00,5.0,22.613636363636363,7.253521126760563,12.3
135,Qinghai,Mainland China,1/27/2020 9:00,4.0,22.613636363636363,7.253521126760563,12.3
136,Washington,United States,1/27/2020 9:00,1.0,22.613636363636363,7.253521126760563,12.3
137,Illinois,United States,1/27/2020 9:00,1.0,22.613636363636363,7.253521126760563,12.3
138,California,United States,1/27/2020 9:00,2.0,22.613636363636363,7.253521126760563,12.3
139,Arizona,United States,1/27/2020 9:00,1.0,22.613636363636363,7.253521126760563,12.3
140,,Japan,1/27/2020 9:00,4.0,22.613636363636363,1.0,12.3
141,,Thailand,1/27/2020 9:00,8.0,22.613636363636363,2.0,12.3
142,,South Korea,1/27/2020 9:00,4.0,22.613636363636363,7.253521126760563,12.3
143,,Singapore,1/27/2020 9:00,4.0,22.613636363636363,7.253521126760563,12.3
144,,Vietnam,1/27/2020 9:00,2.0,22.613636363636363,7.253521126760563,12.3
145,,France,1/27/2020 9:00,3.0,22.613636363636363,7.253521126760563,12.3
146,,Australia,1/27/2020 9:00,5.0,22.613636363636363,7.253521126760563,12.3
147,,Nepal,1/27/2020 9:00,1.0,22.613636363636363,7.253521126760563,12.3
148,,Malaysia,1/27/2020 9:00,4.0,22.613636363636363,7.253521126760563,12.3
149,Ontario,Canada,1/27/2020 9:00,1.0,22.613636363636363,7.253521126760563,12.3
150,,Cambodia,1/27/2020 9:00,1.0,22.613636363636363,7.253521126760563,12.3
151,Hubei,Mainland China,1/26/2020 23:00,1423.0,22.613636363636363,44.0,76.0
152,Guangdong,Mainland China,1/26/2020 23:00,146.0,22.613636363636363,2.0,12.3
153,Zhejiang,Mainland China,1/26/2020 23:00,128.0,22.613636363636363,1.0,12.3
154,Henan,Mainland China,1/26/2020 23:00,128.0,22.613636363636363,7.253521126760563,1.0
155,Chongqing,Mainland China,1/26/2020 23:00,110.0,22.613636363636363,7.253521126760563,12.3
156,Hunan,Mainland China,1/26/2020 23:00,100.0,22.613636363636363,7.253521126760563,12.3
157,Anhui,Mainland China,1/26/2020 23:00,70.0,22.613636363636363,7.253521126760563,12.3
158,Sichuan,Mainland China,1/26/2020 23:00,69.0,22.613636363636363,7.253521126760563,12.3
159,Beijing,Mainland China,1/26/2020 23:00,68.0,22.613636363636363,2.0,12.3
160,Shandong,Mainland China,1/26/2020 23:00,63.0,22.613636363636363,7.253521126760563,12.3
161,Shanghai,Mainland China,1/26/2020 23:00,53.0,22.613636363636363,1.0,1.0
162,Jiangxi,Mainland China,1/26/2020 23:00,48.0,22.613636363636363,7.253521126760563,12.3
163,Jiangsu,Mainland China,1/26/2020 23:00,47.0,22.613636363636363,1.0,12.3
164,Guangxi,Mainland China,1/26/2020 23:00,46.0,22.613636363636363,7.253521126760563,12.3
165,Fujian,Mainland China,1/26/2020 23:00,35.0,22.613636363636363,7.253521126760563,12.3
166,Liaoning,Mainland China,1/26/2020 23:00,23.0,22.613636363636363,7.253521126760563,12.3
167,Hainan,Mainland China,1/26/2020 23:00,22.0,22.613636363636363,7.253521126760563,12.3
168,Shaanxi,Mainland China,1/26/2020 23:00,22.0,22.613636363636363,7.253521126760563,12.3
169,Heilongjiang,Mainland China,1/26/2020 23:00,21.0,22.613636363636363,7.253521126760563,1.0
170,Yunnan,Mainland China,1/26/2020 23:00,19.0,22.613636363636363,7.253521126760563,12.3
171,Hebei,Mainland China,1/26/2020 23:00,18.0,22.613636363636363,7.253521126760563,1.0
172,Tianjin,Mainland China,1/26/2020 23:00,14.0,22.613636363636363,7.253521126760563,12.3
